Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
492.95,4659572,23451.9004,14762
456.65,4046313,18424.5542,18375
437.75,4155360,18071.23578,16631
427.55,4652182,20928.10272,19169
405.45,3131567,12716.2637,16535
411.5,5421573,22048.2672,24080
397.55,3597837,14464.68928,18385
376.55,3749504,14757.51516,26616
404.45,5563298,21240.44254,33766
408.5,4059970,16343.1925,16155
413.05,5981239,25262.12924,14981
429.1,5004986,20533.21659,20617
433.7,3647846,15789.23995,11849
455.2,4903899,22147.33386,17069
443.05,4162259,18950.8012,13512
451.95,2679101,12244.32976,9347
462.8,4641401,20972.13193,14308
457,3398607,15782.8061,13552
468.8,2990757,13583.31981,12890
486.2,2585591,12532.8307,8238
500.8,2964944,14728.30677,10471
497.6,3120588,15801.16351,13972
537.2,3678769,19036.64476,21584
546,3518637,19345.11188,20071
537.5,2073569,11301.2854,11852
499.5,3410146,17270.77915,23030
490.75,2864147,14023.44134,15147
482.8,2151638,10676.12369,5930
494.95,2720951,13169.74988,9216
510.25,2858087,14467.00722,10813
504.7,2495475,12784.59034,9138
516.85,1408190,7264.56185,5559
541.9,2852253,15266.7921,9429
560.1,1833121,10258.37529,7047
569.75,2578771,14666.15868,13224
522.1,2114311,11485.65076,12555
486.6,5034621,25451.99003,26865
451.7,4509390,20735.7862,17285
440.3,3051583,13565.3657,10105
449.4,2406971,10780.70477,7411
434.05,2386027,10274.43663,10344
443.55,1857294,8222.86227,6015
438.3,1588517,6988.38964,5976
422.4,1222309,5164.358056,4684
407.7,2072238,8619.719231,9675
416.05,1689063,6976.517994,9489
384.3,2893547,11470.25174,15830
394.75,1758321,6876.407286,13637
422.85,5203476,21152.45457,28381
435.65,3040706,13277.60403,15462
433.7,2129428,9127.746513,10424
397.85,2197560,9042.866935,10917
395.5,2191885,8745.364993,9162
395.15,1914021,7669.62575,11453
392.3,2019907,7879.011728,8766
403,1658792,6670.007807,8742
422.45,2482162,10365.02847,9139
421,2271332,9683.494722,10617
430.95,2685967,11372.96984,13248
430.5,2468647,10629.96065,9190
440.4,1669183,7351.456503,5881
418.8,1816911,7658.316921,10008
